Fecha,Hora,Tipo,Estado,Descripción,Monto,Concepto,Saldo,ID_Transacción,Método,Contraparte,Categoría
2026-03-31,14:35,COMPRA,COMPLETADO,Compra TIENDA ONLINE,890.50,SALIDA,4109.50,MP-123456,BILLETERA,tienda@mp,compras_online
2026-03-30,10:20,ENVIO,COMPLETADO,Cobro por envío realizado,250.00,ENTRADA,5000.00,MP-123457,INGRESO,cliente@mp,ingresos
2026-03-29,16:45,PAGO,COMPLETADO,Pago de servicios UTE,750.00,SALIDA,4750.00,MP-123458,BILLETERA,provee@mp,utilidades
2026-03-28,09:15,TRANSFERENCIA,COMPLETADO,Transferencia a BROU,1000.00,SALIDA,5750.00,MP-123459,BANCO,BROU-1234,transferencias
2026-03-27,13:50,RECARGA,COMPLETADO,Recarga de saldo,2000.00,ENTRADA,6750.00,MP-123460,TARJETA,Visa****1234,recarga
2026-03-26,15:20,COMPRA,COMPLETADO,Compra SUPERMERCADO,543.21,SALIDA,6206.79,MP-123461,BILLETERA,supermercado@mp,alimentacion
2026-03-25,11:30,PAGO,COMPLETADO,Pago Netflix suscripción,179.99,SALIDA,6026.80,MP-123462,BILLETERA,netflix@mp,entretenimiento
2026-03-24,08:45,COMPRA,COMPLETADO,Compra FARMACIA ABC,120.50,SALIDA,5906.30,MP-123463,BILLETERA,farmacia@mp,salud
2026-03-23,14:15,ENVIO,COMPLETADO,Cobro comisión por venta,500.00,ENTRADA,6406.30,MP-123464,INGRESO,cliente2@mp,ingresos
2026-03-22,12:00,TRANSFERENCIA,COMPLETADO,Retiro a cuenta corriente,2500.00,SALIDA,3906.30,MP-123465,BANCO,ITAU-5678,transferencias
2026-03-21,09:30,COMPRA,COMPLETADO,Compra combustible ANCAP,350.00,SALIDA,3556.30,MP-123466,BILLETERA,ancap@mp,transporte
2026-03-20,16:50,PAGO,COMPLETADO,Pago tarjeta de crédito,1200.00,SALIDA,2356.30,MP-123467,BILLETERA,oca@mp,pagos
2026-03-19,13:20,COMPRA,COMPLETADO,Compra restaurante,890.00,SALIDA,1466.30,MP-123468,BILLETERA,restaurante@mp,entretenimiento
2026-03-18,10:45,RECARGA,COMPLETADO,Recarga por transferencia bancaria,5000.00,ENTRADA,6466.30,MP-123469,BANCO,BROU-1234,recarga
2026-03-17,15:30,COMPRA,COMPLETADO,Compra TIENDA ROPA,1200.00,SALIDA,5266.30,MP-123470,BILLETERA,tienda_ropa@mp,compras
